instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
17072898,66691,NIFTY26APRFUT,NIFTY,0.0,2026-04-28,0.0,0.1,65,FUT,NFO-FUT,NFO
16914178,66071,NIFTY26MAYFUT,NIFTY,0.0,2026-05-26,0.0,0.1,65,FUT,NFO-FUT,NFO
15956226,62329,NIFTY26JUNFUT,NIFTY,0.0,2026-06-30,0.0,0.1,65,FUT,NFO-FUT,NFO
17072130,66688,BANKNIFTY26APRFUT,BANKNIFTY,0.0,2026-04-28,0.0,0.2,30,FUT,NFO-FUT,NFO
16913410,66068,BANKNIFTY26MAYFUT,BANKNIFTY,0.0,2026-05-26,0.0,0.2,30,FUT,NFO-FUT,NFO
15955458,62326,BANKNIFTY26JUNFUT,BANKNIFTY,0.0,2026-06-30,0.0,0.2,30,FUT,NFO-FUT,NFO
17073410,66693,360ONE26APRFUT,360ONE,0.0,2026-04-28,0.0,0.05,500,FUT,NFO-FUT,NFO
16914690,66073,360ONE26MAYFUT,360ONE,0.0,2026-05-26,0.0,0.05,500,FUT,NFO-FUT,NFO
15956738,62331,360ONE26JUNFUT,360ONE,0.0,2026-06-30,0.0,0.05,500,FUT,NFO-FUT,NFO
17073666,66694,ABB26APRFUT,ABB,0.0,2026-04-28,0.0,0.5,125,FUT,NFO-FUT,NFO
16914946,66074,ABB26MAYFUT,ABB,0.0,2026-05-26,0.0,0.5,125,FUT,NFO-FUT,NFO
15956994,62332,ABB26JUNFUT,ABB,0.0,2026-06-30,0.0,0.5,125,FUT,NFO-FUT,NFO
17073922,66695,ABCAPITAL26APRFUT,ABCAPITAL,0.0,2026-04-28,0.0,0.05,3100,FUT,NFO-FUT,NFO
16915202,66075,ABCAPITAL26MAYFUT,ABCAPITAL,0.0,2026-05-26,0.0,0.05,3100,FUT,NFO-FUT,NFO
15957250,62333,ABCAPITAL26JUNFUT,ABCAPITAL,0.0,2026-06-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
17074178,66696,ADANIENSOL26APRFUT,ADANIENSOL,0.0,2026-04-28,0.0,0.05,675,FUT,NFO-FUT,NFO
16915458,66076,ADANIENSOL26MAYFUT,ADANIENSOL,0.0,2026-05-26,0.0,0.05,675,FUT,NFO-FUT,NFO
15959554,62342,ADANIENSOL26JUNFUT,ADANIENSOL,0.0,2026-06-30,0.0,0.05,675,FUT,NFO-FUT,NFO
17075970,66703,ADANIENT26APRFUT,ADANIENT,0.0,2026-04-28,0.0,0.1,309,FUT,NFO-FUT,NFO
16915714,66077,ADANIENT26MAYFUT,ADANIENT,0.0,2026-05-26,0.0,0.1,309,FUT,NFO-FUT,NFO
15959810,62343,ADANIENT26JUNFUT,ADANIENT,0.0,2026-06-30,0.0,0.1,309,FUT,NFO-FUT,NFO
17076226,66704,ADANIGREEN26APRFUT,ADANIGREEN,0.0,2026-04-28,0.0,0.05,600,FUT,NFO-FUT,NFO
16915970,66078,ADANIGREEN26MAYFUT,ADANIGREEN,0.0,2026-05-26,0.0,0.05,600,FUT,NFO-FUT,NFO
15960066,62344,ADANIGREEN26JUNFUT,ADANIGREEN,0.0,2026-06-30,0.0,0.05,600,FUT,NFO-FUT,NFO
17076482,66705,ADANIPORTS26APRFUT,ADANIPORTS,0.0,2026-04-28,0.0,0.1,475,FUT,NFO-FUT,NFO
16916226,66079,ADANIPORTS26MAYFUT,ADANIPORTS,0.0,2026-05-26,0.0,0.1,475,FUT,NFO-FUT,NFO
15960322,62345,ADANIPORTS26JUNFUT,ADANIPORTS,0.0,2026-06-30,0.0,0.1,475,FUT,NFO-FUT,NFO
15960578,62346,ADANIPOWER26APRFUT,ADANIPOWER,0.0,2026-04-28,0.0,0.01,3550,FUT,NFO-FUT,NFO
15960834,62347,ADANIPOWER26MAYFUT,ADANIPOWER,0.0,2026-05-26,0.0,0.01,3550,FUT,NFO-FUT,NFO
15961090,62348,ADANIPOWER26JUNFUT,ADANIPOWER,0.0,2026-06-30,0.0,0.01,3550,FUT,NFO-FUT,NFO
17076738,66706,ALKEM26APRFUT,ALKEM,0.0,2026-04-28,0.0,0.5,125,FUT,NFO-FUT,NFO
16916482,66080,ALKEM26MAYFUT,ALKEM,0.0,2026-05-26,0.0,0.5,125,FUT,NFO-FUT,NFO
15961346,62349,ALKEM26JUNFUT,ALKEM,0.0,2026-06-30,0.0,0.5,125,FUT,NFO-FUT,NFO
17076994,66707,AMBER26APRFUT,AMBER,0.0,2026-04-28,0.0,0.5,100,FUT,NFO-FUT,NFO
16916738,66081,AMBER26MAYFUT,AMBER,0.0,2026-05-26,0.0,0.5,100,FUT,NFO-FUT,NFO
15963906,62359,AMBER26JUNFUT,AMBER,0.0,2026-06-30,0.0,0.5,100,FUT,NFO-FUT,NFO
17077250,66708,AMBUJACEM26APRFUT,AMBUJACEM,0.0,2026-04-28,0.0,0.05,1050,FUT,NFO-FUT,NFO
16916994,66082,AMBUJACEM26MAYFUT,AMBUJACEM,0.0,2026-05-26,0.0,0.05,1050,FUT,NFO-FUT,NFO
15964162,62360,AMBUJACEM26JUNFUT,AMBUJACEM,0.0,2026-06-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
17077506,66709,ANGELONE26APRFUT,ANGELONE,0.0,2026-04-28,0.0,0.01,2500,FUT,NFO-FUT,NFO
16917250,66083,ANGELONE26MAYFUT,ANGELONE,0.0,2026-05-26,0.0,0.01,2500,FUT,NFO-FUT,NFO
15964418,62361,ANGELONE26JUNFUT,ANGELONE,0.0,2026-06-30,0.0,0.01,2500,FUT,NFO-FUT,NFO
17077762,66710,APLAPOLLO26APRFUT,APLAPOLLO,0.0,2026-04-28,0.0,0.1,350,FUT,NFO-FUT,NFO
16917506,66084,APLAPOLLO26MAYFUT,APLAPOLLO,0.0,2026-05-26,0.0,0.1,350,FUT,NFO-FUT,NFO
15964674,62362,APLAPOLLO26JUNFUT,APLAPOLLO,0.0,2026-06-30,0.0,0.1,350,FUT,NFO-FUT,NFO
